Application,Library,Device,OS,ja4,ja4s,ja4h,ja4x,ja4t,ja4tscan,Notes
,GoLang net package,,,t13d191000_9dc949149365_e7c285222651,,,,,,
,GoLang webhooks,,,t13d1412h2_e33ad33b3d25_6b314db333b6,,,,,,
,GoLang,,,t12d160700_8cdfa2d4673b_18dd7303c4a5,,,,,,
,GoLang,,,t13d141000_cbb2034c60b8_e7c285222651,,,,,,
Chromium Browser,,,,,,ge11nn08enus_050dd5cfb971_000000000000_000000000000,,,,Connection to new site over http 1.1
Chromium Browser,,,,,,ge11nr07enus_a3e0c85f2f9f_000000000000_000000000000,,,,http 1.1
Chromium Browser,,,,,,ge11nr08enus_307986a18ea3_000000000000_000000000000,,,,http 1.1
ngrok 3.8.0,,,,,,ge11nn17enus_d488a5d46f42_000000000000_000000000000,,,,Chrome through ngrok
ngrok 3.8.0,,,,,,ge11nr15enus_a978addab902_000000000000_000000000000,,,,Chrome through ngrok
,,Cisco RV32x,,,,,fba10053814e_fba10053814e_795797892f9c,,5792_2-4-8-1-3_1460_4_3-6-12-24,
Curl,,,,,,ge11nn030000_fe444ad14866_000000000000_000000000000,,,,
Telegram,,,,,,po11nn07enus_b9cd978c9817_000000000000_000000000000,,,,
,,LIFX Smart Bulbs,,t12d520600_b380db6257eb_0a9c83bf8b96,,,,5744_2_1436_00,,
,,Nest,,t12d8008h1_9cedc1f1428b_046e095b7c4a,,,,29200_2-4-8-1-3_1460_6,,
,,Phillips Hue Bridge,,t12d350600_9d4c96c0953b_0a9c83bf8b96,,,,29200_2-1-1-4-1-3_1460_3,,
,WinINET,,Windows 10/11,t12d190800_d83cc789557e_7af1ed941c26,,,,,,
,GoLang,,,t12d190800_d83cc789557e_7af1ed941c26,,,,,,
,,Cloudflare,,,,,,,65535_2-4-8-1-3_1400_13_1,
,,Cloudflare,,,,,,65535_2-4-8-1-3_1400_13,,JA4TS when connecting to Cloudflare from Mac/Unix
,,Cloudflare,,,,,,65535_2-1-1-4-1-3_1400_13,,JA4TS when connecting to Cloudflare from Windows
